feature,base_rmse,ablated_rmse,rmse_change,base_r2,ablated_r2,r2_change
original_language_rm,1.3732689722681009,1.3734324286670843,0.00016345639898340814,0.34414458112675705,0.3439884425300639,-0.0001561385966931672
original_language_vi,1.3732689722681009,1.3734201937128843,0.00015122144478341148,0.34414458112675705,0.3440001303793421,-0.00014445074741498143
original_language_sk,1.3732689722681009,1.37340992297632,0.00014095070821906752,0.34414458112675705,0.34400994176362976,-0.00013463936312729796
original_language_uk,1.3732689722681009,1.373388569644592,0.00011959737649114288,0.34414458112675705,0.3440303398460912,-0.00011424128066583883
original_language_ka,1.3732689722681009,1.3733578467871408,8.88745190399387e-05,0.34414458112675705,0.3440596877486314,-8.489337812567221e-05
original_language_as,1.3732689722681009,1.3733544137798035,8.544151170264414e-05,0.34414458112675705,0.3440629670761506,-8.161405060647109e-05
original_language_sr,1.3732689722681009,1.3733463038014568,7.73315333559843e-05,0.34414458112675705,0.3440707139758198,-7.386715093726792e-05
original_language_xh,1.3732689722681009,1.373338016783756,6.904451565525882e-05,0.34414458112675705,0.3440786299416453,-6.595118511176778e-05
original_language_hy,1.3732689722681009,1.3733077427979106,3.87705298097174e-05,0.34414458112675705,0.34410754800138244,-3.7033125374619225e-05
original_language_gl,1.3732689722681009,1.3732849822931308,1.6010025029933317e-05,0.34414458112675705,0.3441292886777294,-1.529244902764848e-05
original_language_sh,1.3732689722681009,1.3732812424724088,1.2270204307940347e-05,0.34414458112675705,0.344132860894085,-1.1720232672041142e-05
original_language_lt,1.3732689722681009,1.373275559089447,6.586821346132865e-06,0.34414458112675705,0.3441382895510783,-6.291575678774031e-06
original_language_nb,1.3732689722681009,1.373271649008341,2.6767402401262075e-06,0.34414458112675705,0.3441420243715435,-2.5567552135452587e-06
original_language_ne,1.3732689722681009,1.3732713962327239,2.423964623021746e-06,0.34414458112675705,0.34414226581669294,-2.315310064116005e-06
original_language_gu,1.3732689722681009,1.3732703458994306,1.373631329792957e-06,0.34414458112675705,0.3441432690691487,-1.3120576083380797e-06
original_language_km,1.3732689722681009,1.3732698805579668,9.082898659862337e-07,0.34414458112675705,0.34414371355159223,-8.675751648201668e-07
original_language_mk,1.3732689722681009,1.373269878540486,9.062723851371857e-07,0.34414458112675705,0.34414371547863887,-8.656481181867903e-07
original_language_kk,1.3732689722681009,1.373269717341277,7.450731760449969e-07,0.34414458112675705,0.34414386945202713,-7.116747299251713e-07
original_language_xx,1.3732689722681009,1.3732696698406142,6.975725133084865e-07,0.34414458112675705,0.34414391482344975,-6.663033073062152e-07
